T	11:05:00	12:20:00	LCHAS 143	25531
R	11:05:00	12:20:00	LCHAS 143	25531
T	11:05:00	12:20:00	LCHAS 181	25545
R	11:05:00	12:20:00	LCHAS 181	25545
T	12:30:00	13:45:00	LCHAS 141	25559
R	12:30:00	13:45:00	LCHAS 141	25559
T	12:30:00	13:45:00	LCHAS 163	25586
R	12:30:00	13:45:00	LCHAS 163	25586
T	14:00:00	15:15:00	LCHAS 184	25590
R	14:00:00	15:15:00	LCHAS 184	25590
T	09:40:00	10:55:00	LATT 401	25620
M	10:25:00	11:15:00	HUTCH 141	25702
W	10:25:00	11:15:00	HUTCH 141	25702
F	10:25:00	11:15:00	HUTCH 141	25702
T	15:25:00	16:40:00	HUTCH 141	25717
R	15:25:00	16:40:00	HUTCH 141	25717
T	11:05:00	12:20:00	HUTCH 141	25726
R	11:05:00	12:20:00	HUTCH 141	25726
M	10:25:00	11:15:00	HUTCH 473	26742
W	10:25:00	11:15:00	HUTCH 473	26742
F	10:25:00	11:15:00	HUTCH 473	26742
F	13:00:00	15:00:00	HUTCH 473	26810
M	11:50:00	12:40:00	HUTCH 141	26855
W	11:50:00	12:40:00	HUTCH 141	26855
F	11:50:00	12:40:00	HUTCH 141	26855
T	12:30:00	13:45:00	HYLAN 101	27321
M	16:50:00	18:05:00	HUTCH 141	27339
T	09:40:00	10:55:00	B&L 109	27396
R	09:40:00	10:55:00	B&L 109	27396
T	12:30:00	13:45:00	GAVET 301	27480
R	12:30:00	13:45:00	GAVET 301	27480
T	12:30:00	13:45:00	GAVET 301	27527
R	12:30:00	13:45:00	GAVET 301	27527
M	10:25:00	11:15:00	CSB 209	27569
W	10:25:00	11:15:00	CSB 209	27569
F	10:25:00	11:15:00	CSB 209	27569
T	09:40:00	10:55:00	B&L 109	27854
R	09:40:00	10:55:00	B&L 109	27854
T	11:05:00	12:20:00	HYLAN 101	27863
R	11:05:00	12:20:00	HYLAN 101	27863
T	09:40:00	10:55:00	HYLAN 101	27872
R	09:40:00	10:55:00	HYLAN 101	27872
T	09:40:00	10:55:00	HYLAN 101	27889
R	09:40:00	10:55:00	HYLAN 101	27889
T	11:05:00	12:20:00	HYLAN 101	27891
R	11:05:00	12:20:00	HYLAN 101	27891
M	12:30:00	13:45:00	HYLAN 306	27906
W	12:30:00	13:45:00	HYLAN 306	27906
M	09:10:00	10:15:00	B&L 315	27919
W	09:10:00	10:15:00	B&L 315	27919
M	10:25:00	11:40:00	GRGEN 110	27922
W	10:25:00	11:40:00	GRGEN 110	27922
M	12:30:00	13:45:00	HYLAN 306	27935
W	12:30:00	13:45:00	HYLAN 306	27935
M	10:25:00	11:15:00	CSB 209	27941
W	10:25:00	11:15:00	CSB 209	27941
F	10:25:00	11:15:00	CSB 209	27941
M	09:00:00	10:15:00	LCHAS 143	27953
W	09:00:00	10:15:00	LCHAS 143	27953
T	11:05:00	12:20:00	HUTCH 138	27964
R	11:05:00	12:20:00	HUTCH 138	27964
M	15:25:00	18:05:00	HUTCH 473	28045
F	15:25:00	18:05:00	HUTCH 473	28045
M	14:00:00	15:15:00	HUTCH 102	28086
T	15:25:00	18:05:00	HUTCH 473	28105
R	15:25:00	18:05:00	HUTCH 473	28105
M	17:50:00	20:50:00	GLSON 118	28640
R	17:50:00	20:50:00	GLSON 119	28652
R	17:50:00	20:50:00	GLSON 120	28669
M	15:25:00	16:40:00	GAVET 310	28960
W	15:25:00	16:40:00	GAVET 310	28960
M	15:25:00	16:40:00	GAVET 310	29068
W	15:25:00	16:40:00	GAVET 310	29068
T	09:40:00	12:20:00	LATT 540	29096
T	16:50:00	18:05:00	LATT 401	29102
R	16:50:00	18:05:00	LATT 401	29102
R	09:00:00	12:00:00	MOREY 505	29219
T	09:40:00	12:20:00	LATT 540	29222
T	16:50:00	18:05:00	LATT 401	29235
R	16:50:00	18:05:00	LATT 401	29235
T	16:50:00	18:05:00	GRGEN 101	29944
R	16:50:00	18:05:00	GRGEN 101	29944
M	12:30:00	13:45:00	 	29982
W	12:30:00	13:45:00	 	29982
T	18:15:00	19:30:00	B&L 109	29998
R	18:15:00	19:30:00	B&L 109	29998
T	11:05:00	12:20:00	GRGEN 101	30059
R	11:05:00	12:20:00	GRGEN 101	30059
W	10:25:00	11:40:00	B&L 109	30105
F	10:25:00	11:40:00	B&L 109	30105
W	10:25:00	11:40:00	GAVET 202	30279
F	10:25:00	11:40:00	GAVET 202	30279
T	14:00:00	15:15:00	LATT 201	30302
R	14:00:00	15:15:00	LATT 201	30302
W	10:25:00	11:40:00	CSB 601	30317
F	10:25:00	11:40:00	CSB 601	30317
M	15:25:00	16:40:00	HARK 115	30326
W	15:25:00	16:40:00	HARK 115	30326
W	10:25:00	11:40:00	CSB 632	30334
F	10:25:00	11:40:00	CSB 632	30334
M	15:25:00	16:40:00	CSB 632	30351
W	15:25:00	16:40:00	CSB 632	30351
M	14:00:00	15:15:00	GRGEN 108	30365
W	14:00:00	15:15:00	GRGEN 108	30365
T	14:00:00	15:15:00	CSB 601	30378
R	14:00:00	15:15:00	CSB 601	30378
M	12:30:00	13:45:00	CSB 601	30380
W	12:30:00	13:45:00	CSB 601	30380
M	16:50:00	18:05:00	CSB 523	30399
W	16:50:00	18:05:00	CSB 523	30399
T	12:30:00	13:45:00	CSB 632	30403
R	12:30:00	13:45:00	CSB 632	30403
T	11:05:00	12:20:00	MEL 221	30412
R	11:05:00	12:20:00	MEL 221	30412
M	14:00:00	15:15:00	CSB 632	30429
W	14:00:00	15:15:00	CSB 632	30429
T	09:40:00	10:55:00	CSB 601	30448
R	09:40:00	10:55:00	CSB 601	30448
W	10:25:00	11:40:00	CSB 601	30456
F	10:25:00	11:40:00	CSB 601	30456
T	09:40:00	10:55:00	CSB 632	30669
R	09:40:00	10:55:00	CSB 632	30669
M	15:25:00	16:40:00	HARK 115	30674
W	15:25:00	16:40:00	HARK 115	30674
W	10:25:00	11:40:00	CSB 632	30683
F	10:25:00	11:40:00	CSB 632	30683
M	15:25:00	16:40:00	CSB 632	30704
W	15:25:00	16:40:00	CSB 632	30704
M	14:00:00	15:15:00	GRGEN 108	30710
W	14:00:00	15:15:00	GRGEN 108	30710
T	14:00:00	15:15:00	CSB 601	30728
R	14:00:00	15:15:00	CSB 601	30728
M	12:30:00	13:45:00	CSB 601	30732
W	12:30:00	13:45:00	CSB 601	30732
M	16:50:00	18:05:00	CSB 523	30749
W	16:50:00	18:05:00	CSB 523	30749
